time,data,butter,laplace,gaussian,target
26.88,4016.0,4014.0366076107316,4007.4786065071507,4014.7949874857823,4013.456645487879
26.91,4015.0,4014.149275956859,4007.725133674982,4015.0956182265754,4013.6014959556433
26.939999999999998,4015.0,4014.26295599169,4007.981189739944,4015.3883282756983,4013.7473165949164
26.97,4015.0,4014.3775396776546,4008.243181907144,4015.669753047778,4013.8933252376164
27.0,4015.0,4014.492919755827,4008.509136746969,4015.936454564515,4014.0388949358107
27.029999999999998,4015.0,4014.608989573426,4008.777284262535,4016.184994551902,4014.1834195401843
27.06,4013.0,4014.7256428496376,4009.043558395935,4016.4122654309836,4014.326096662402
27.09,4013.0,4014.8427730753606,4009.301876847342,4016.61557825954,4014.465963970977
27.119999999999997,4013.0,4014.960272668784,4009.5493698580494,4016.7926981916994,4014.602424940002
27.15,4046.0,4015.0780343838223,4009.8270385305013,4016.9420388240887,4014.7393352425174
27.18,4046.0,4015.195959112767,4010.2121053978894,4017.0627293297816,4014.884250762981
27.209999999999997,4016.0,4015.3139660029065,4010.694241211875,4017.1547040683054,4015.036067330344
27.24,4016.0,4015.4319930724673,4011.1855154908835,4017.218710286172,4015.1860170356795
27.27,4016.0,4015.5499881432534,4011.6451737066195,4017.256172093382,4015.3301250946033
27.3,4011.0,4015.667901113073,4012.0682925949313,4017.2693800072,4015.468088150672
27.33,4011.0,4015.7856807957546,4012.444473945999,4017.261273730459,4015.5991194042494
27.36,4011.0,4015.903272979252,4012.7709417752435,4017.2355453894006,4015.7232670998665
27.39,4016.0,4016.0206193973972,4013.0579075258233,4017.196430180913,4015.841929288592
27.419999999999998,4016.0,4016.137658528854,4013.3208376386324,4017.1482958096753,4015.957040167914
27.45,4019.0,4016.2543274925283,4013.571083993404,4017.09609156225,4016.070179549589
27.48,4019.0,4016.3705638823776,4013.816292703838,4017.044835888982,4016.1825639651843
27.509999999999998,4019.0,4016.486307054474,4014.0595424662624,4016.9991980177824,4016.294919691984
27.54,4023.0,4016.6014989881824,4014.304816260634,4016.9637280554716,4016.4080536221563
27.57,4023.0,4016.716085330523,4014.56060724354,4016.942457696044,4016.523174758377
27.599999999999998,4023.0,4016.8300167455673,4014.8294254200796,4016.938937142086,4016.6408496526706
27.63,4015.0,4016.943249290016,4015.0985205032644,4016.9558778904966,4016.760039271389
27.66,4015.0,4017.0557425969837,4015.3466413041256,4016.995127476274,4016.8787709556273
27.689999999999998,4007.0,4017.167456355245,4015.5550436934777,4017.0575375099556,4016.99522320454
27.72,4007.0,4017.278346301991,4015.707300305715,4017.1430271944378,4017.1077097916086
