ax,ay,az,gx,gy,gz,time
948,-379,-105,3724,64,16176,3.976113
880,-369,-111,3656,148,16196,3.978821
317,-456,-68,3536,340,16432,3.991703
166,-483,-95,3548,296,16504,3.994412
-264,-591,-12,3548,204,16380,4.007345
-334,-715,-30,3572,152,16248,4.010069
-326,-724,7,3504,108,15988,4.012793
-307,-590,-51,3308,-24,15488,4.025712
-242,-580,-75,3280,-88,15412,4.028448
58,-421,-237,3096,-92,15356,4.04137
119,-408,-307,3060,-140,15224,4.044094
227,-372,-297,3132,-116,15348,4.046818
516,-332,-470,3040,-32,15416,4.059773
560,-304,-513,3064,-44,15700,4.062492
624,-442,-735,3216,84,15808,4.075396
601,-449,-772,3292,148,16016,4.078102
572,-459,-767,3468,212,16096,4.080807
412,-698,-713,3884,408,16232,4.093712
380,-802,-672,3932,412,16316,4.096416
276,-856,-515,4056,384,16056,4.109335
249,-812,-469,4048,428,15928,4.112042
232,-770,-444,3996,388,15932,4.114751
152,-643,-357,3988,464,15748,4.127667
185,-595,-249,3992,424,15688,4.130374
275,-415,-276,3856,392,15488,4.143274
352,-406,-197,3752,316,15456,4.14598
371,-353,-239,3664,308,15500,4.148684
583,-377,-278,3724,380,15348,4.161591
617,-327,-267,3708,280,15448,4.164294
872,-222,-309,3580,192,15440,4.177213
909,-248,-337,3556,208,15460,4.179917
958,-308,-353,3604,176,15608,4.182622
1011,-240,-440,3608,252,15548,4.195542
1050,-192,-433,3624,172,15672,4.19825
966,-101,-438,3704,244,15844,4.211151
1005,-91,-464,3640,244,15940,4.213865
973,-79,-450,3640,300,16060,4.216571
888,-217,-403,3672,368,16160,4.229462
872,-257,-449,3624,392,16088,4.232165
855,-530,-415,3640,532,15992,4.245092
848,-539,-432,3752,504,16116,4.247804
855,-595,-443,3744,544,16112,4.250509
